order_date,channel,category,product,units,revenue,new_customer
2026-06-15,direct,Apparel,Wool Scarf,2,73.92,0
2026-06-15,direct,Electronics,Smart Speaker,1,66.05,0
2026-06-15,direct,Electronics,USB-C Hub,2,83.43,0
2026-06-16,paid_search,Home,Desk Lamp,1,38.59,0
2026-06-16,paid_search,Beauty,Body Lotion,1,24.57,0
2026-06-16,paid_search,Apparel,Wool Scarf,1,31.74,0
2026-06-16,organic,Beauty,Matte Lipstick,2,39.75,0
2026-06-16,organic,Apparel,Denim Jacket,2,158.68,0
2026-06-16,organic,Beauty,Matte Lipstick,2,41.36,0
2026-06-17,paid_social,Outdoor,Camp Chair,1,63.25,0
2026-06-17,organic,Outdoor,Camp Chair,1,53.85,1
2026-06-17,email,Electronics,Wireless Earbuds,2,178.62,1
2026-06-17,organic,Electronics,USB-C Hub,1,40.6,1
2026-06-17,paid_social,Home,Desk Lamp,1,35.2,1
2026-06-18,paid_social,Home,Ceramic Mug Set,3,87.73,1
2026-06-18,paid_search,Apparel,Wool Scarf,2,66.66,0
2026-06-18,paid_search,Outdoor,Trail Backpack,1,98.39,0
2026-06-18,organic,Beauty,Body Lotion,1,21.71,0
2026-06-18,organic,Outdoor,Insulated Bottle,1,26.05,1
2026-06-19,paid_search,Beauty,Matte Lipstick,2,37.32,0
2026-06-19,organic,Apparel,Denim Jacket,1,76.34,0
2026-06-19,organic,Beauty,Vitamin C Serum,1,29.59,1
2026-06-19,email,Home,Throw Blanket,2,82.93,0
2026-06-19,paid_search,Apparel,Denim Jacket,1,77.93,0
2026-06-19,email,Electronics,USB-C Hub,1,44.6,0
2026-06-19,email,Outdoor,Trail Backpack,1,105.09,1
2026-06-20,organic,Electronics,Smart Speaker,1,61.51,0
2026-06-20,paid_social,Apparel,Denim Jacket,1,80.72,1
2026-06-20,email,Electronics,Wireless Earbuds,1,96.58,0
2026-06-20,organic,Apparel,Classic Tee,2,42.37,0
2026-06-21,email,Apparel,Wool Scarf,2,63.35,0
2026-06-21,organic,Beauty,Matte Lipstick,1,20.22,0
2026-06-21,organic,Home,Throw Blanket,1,46.53,0
2026-06-21,organic,Outdoor,Camp Chair,1,61,1
2026-06-21,organic,Electronics,USB-C Hub,1,42.92,1
2026-06-22,paid_search,Home,Throw Blanket,1,48.22,0
2026-06-22,paid_social,Apparel,Classic Tee,1,20.57,1
2026-06-22,email,Electronics,Smart Speaker,1,66.68,0
2026-06-23,organic,Apparel,Denim Jacket,2,158.42,0
2026-06-23,organic,Electronics,Wireless Earbuds,1,87.9,1
2026-06-23,email,Outdoor,Insulated Bottle,1,29.49,1
2026-06-23,email,Apparel,Wool Scarf,1,33.09,1
2026-06-24,organic,Apparel,Classic Tee,1,23.72,1
2026-06-24,email,Beauty,Matte Lipstick,1,17.14,0
2026-06-24,email,Home,Ceramic Mug Set,1,27.68,1
2026-06-24,organic,Outdoor,Insulated Bottle,2,49,0
2026-06-24,organic,Home,Ceramic Mug Set,2,55.44,1
2026-06-24,paid_search,Apparel,Classic Tee,1,21.17,0
